geographicAreaM49,geographicAreaM49_description,measuredElement,measuredElement_description,timePointYears,Value_unpd,flagObservationStatus,flagMethod,Value_faostat,Flag,(Value_unpd-Value_faostat)/Value_faostat
158,"China,Taiwan",511,Total Population [1000],2007,22833,X,h,22933,,-0.004360528
158,"China,Taiwan",511,Total Population [1000],2008,22929,X,h,23010,,-0.003520209
158,"China,Taiwan",511,Total Population [1000],2009,23017,X,h,23080,,-0.002729636
158,"China,Taiwan",511,Total Population [1000],2010,23102,X,h,23146,,-0.001900976
158,"China,Taiwan",511,Total Population [1000],2011,23185,X,h,23210,,-0.001077122
158,"China,Taiwan",511,Total Population [1000],2012,23264,X,h,23272,,-0.000343761
158,"China,Taiwan",511,Total Population [1000],2013,23340,X,h,23330,,0.000428633
170,Colombia,511,Total Population [1000],2000,40404,X,h,39898,,0.01268234
170,Colombia,511,Total Population [1000],2001,40989,X,h,40559,,0.010601839
170,Colombia,511,Total Population [1000],2002,41572,X,h,41216,,0.008637422
170,Colombia,511,Total Population [1000],2003,42152,X,h,41872,,0.006687046
170,Colombia,511,Total Population [1000],2004,42724,X,h,42528,,0.004608728
170,Colombia,511,Total Population [1000],2005,43286,X,h,43184,,0.002361986
170,Colombia,511,Total Population [1000],2006,43836,X,h,43841,,-0.000114048
170,Colombia,511,Total Population [1000],2007,44375,X,h,44498,,-0.002764169
170,Colombia,511,Total Population [1000],2008,44902,X,h,45153,,-0.005558878
170,Colombia,511,Total Population [1000],2009,45416,X,h,45803,,-0.008449228
170,Colombia,511,Total Population [1000],2010,45918,X,h,46445,,-0.011346754
170,Colombia,511,Total Population [1000],2011,46407,X,h,47079,,-0.01427388
170,Colombia,511,Total Population [1000],2012,46881,X,h,47704,,-0.017252222
170,Colombia,511,Total Population [1000],2013,47343,X,h,48321,,-0.020239647
178,Congo,511,Total Population [1000],2000,3226,X,h,3126,,0.031989763
178,Congo,511,Total Population [1000],2001,3316,X,h,3206,,0.034310667
178,Congo,511,Total Population [1000],2002,3407,X,h,3284,,0.037454324
178,Congo,511,Total Population [1000],2003,3503,X,h,3363,,0.041629497
178,Congo,511,Total Population [1000],2004,3605,X,h,3449,,0.045230502
178,Congo,511,Total Population [1000],2005,3718,X,h,3543,,0.04939317
178,Congo,511,Total Population [1000],2006,3842,X,h,3647,,0.053468604
178,Congo,511,Total Population [1000],2007,3976,X,h,3759,,0.057728119
178,Congo,511,Total Population [1000],2008,4115,X,h,3876,,0.061661507
178,Congo,511,Total Population [1000],2009,4254,X,h,3995,,0.064831039
178,Congo,511,Total Population [1000],2010,4387,X,h,4112,,0.066877432
178,Congo,511,Total Population [1000],2011,4513,X,h,4225,,0.06816568
178,Congo,511,Total Population [1000],2012,4633,X,h,4337,,0.068249942
178,Congo,511,Total Population [1000],2013,4751,X,h,4448,,0.068120504
188,Costa Rica,511,Total Population [1000],2000,3925,X,h,3930,,-0.001272265
188,Costa Rica,511,Total Population [1000],2001,3997,X,h,4013,,-0.003987042
188,Costa Rica,511,Total Population [1000],2002,4063,X,h,4094,,-0.007572057
188,Costa Rica,511,Total Population [1000],2003,4126,X,h,4171,,-0.01078878
188,Costa Rica,511,Total Population [1000],2004,4187,X,h,4246,,-0.013895431
188,Costa Rica,511,Total Population [1000],2005,4248,X,h,4320,,-0.016666667
188,Costa Rica,511,Total Population [1000],2006,4309,X,h,4392,,-0.018897996
188,Costa Rica,511,Total Population [1000],2007,4369,X,h,4463,,-0.021062066
188,Costa Rica,511,Total Population [1000],2008,4430,X,h,4533,,-0.022722259
188,Costa Rica,511,Total Population [1000],2009,4488,X,h,4601,,-0.024559878
188,Costa Rica,511,Total Population [1000],2010,4545,X,h,4670,,-0.026766595
188,Costa Rica,511,Total Population [1000],2011,4600,X,h,4738,,-0.029126214
188,Costa Rica,511,Total Population [1000],2012,4654,X,h,4805,,-0.031425598
188,Costa Rica,511,Total Population [1000],2013,4706,X,h,4872,,-0.03407225
191,Croatia,511,Total Population [1000],2000,4428,X,h,4475,,-0.010502793
191,Croatia,511,Total Population [1000],2001,4408,X,h,4447,,-0.008769957
191,Croatia,511,Total Population [1000],2002,4396,X,h,4426,,-0.006778129
191,Croatia,511,Total Population [1000],2003,4389,X,h,4411,,-0.004987531
191,Croatia,511,Total Population [1000],2004,4384,X,h,4400,,-0.003636364
191,Croatia,511,Total Population [1000],2005,4378,X,h,4389,,-0.002506266
191,Croatia,511,Total Population [1000],2006,4371,X,h,4379,,-0.001826901
191,Croatia,511,Total Population [1000],2007,4362,X,h,4369,,-0.001602197
191,Croatia,511,Total Population [1000],2008,4352,X,h,4360,,-0.001834862
191,Croatia,511,Total Population [1000],2009,4341,X,h,4350,,-0.002068966
191,Croatia,511,Total Population [1000],2010,4328,X,h,4338,,-0.00230521
191,Croatia,511,Total Population [1000],2011,4313,X,h,4324,,-0.002543941
191,Croatia,511,Total Population [1000],2012,4297,X,h,4307,,-0.002321802
191,Croatia,511,Total Population [1000],2013,4278,X,h,4290,,-0.002797203
192,Cuba,511,Total Population [1000],2000,11151,X,h,11138,,0.001167175
192,Cuba,511,Total Population [1000],2001,11187,X,h,11175,,0.001073826
192,Cuba,511,Total Population [1000],2002,11218,X,h,11212,,0.000535141
192,Cuba,511,Total Population [1000],2003,11245,X,h,11246,,-8.89E-05
192,Cuba,511,Total Population [1000],2004,11267,X,h,11273,,-0.000532245
192,Cuba,511,Total Population [1000],2005,11284,X,h,11292,,-0.000708466
192,Cuba,511,Total Population [1000],2006,11296,X,h,11301,,-0.000442439
192,Cuba,511,Total Population [1000],2007,11304,X,h,11302,,0.00017696
192,Cuba,511,Total Population [1000],2008,11310,X,h,11296,,0.001239377
192,Cuba,511,Total Population [1000],2009,11319,X,h,11289,,0.002657454
192,Cuba,511,Total Population [1000],2010,11333,X,h,11282,,0.004520475
192,Cuba,511,Total Population [1000],2011,11355,X,h,11276,,0.007006031
192,Cuba,511,Total Population [1000],2012,11382,X,h,11271,,0.009848283
192,Cuba,511,Total Population [1000],2013,11412,X,h,11266,,0.012959347
196,Cyprus,511,Total Population [1000],2000,943,X,h,943,,0
196,Cyprus,511,Total Population [1000],2001,960,X,h,961,,-0.001040583
196,Cyprus,511,Total Population [1000],2002,977,X,h,980,,-0.003061224
196,Cyprus,511,Total Population [1000],2003,994,X,h,998,,-0.004008016
196,Cyprus,511,Total Population [1000],2004,1010,X,h,1016,,-0.005905512
196,Cyprus,511,Total Population [1000],2005,1028,X,h,1033,,-0.004840271
196,Cyprus,511,Total Population [1000],2006,1046,X,h,1048,,-0.001908397
196,Cyprus,511,Total Population [1000],2007,1064,X,h,1063,,0.000940734
196,Cyprus,511,Total Population [1000],2008,1082,X,h,1077,,0.004642526
196,Cyprus,511,Total Population [1000],2009,1098,X,h,1091,,0.006416132
196,Cyprus,511,Total Population [1000],2010,1113,X,h,1104,,0.008152174
196,Cyprus,511,Total Population [1000],2011,1125,X,h,1117,,0.007162041
196,Cyprus,511,Total Population [1000],2012,1135,X,h,1129,,0.005314438
196,Cyprus,511,Total Population [1000],2013,1144,X,h,1141,,0.002629273
203,Czechia,511,Total Population [1000],2000,10290,X,h,10250,,0.003902439
203,Czechia,511,Total Population [1000],2001,10271,X,h,10231,,0.003909686
203,Czechia,511,Total Population [1000],2002,10252,X,h,10214,,0.003720384
203,Czechia,511,Total Population [1000],2003,10239,X,h,10204,,0.003430027
203,Czechia,511,Total Population [1000],2004,10240,X,h,10208,,0.003134796
203,Czechia,511,Total Population [1000],2005,10258,X,h,10231,,0.002639038
203,Czechia,511,Total Population [1000],2006,10298,X,h,10275,,0.002238443
203,Czechia,511,Total Population [1000],2007,10357,X,h,10338,,0.00183788
203,Czechia,511,Total Population [1000],2008,10424,X,h,10412,,0.001152516
203,Czechia,511,Total Population [1000],2009,10487,X,h,10486,,9.54E-05
203,Czechia,511,Total Population [1000],2010,10536,X,h,10554,,-0.001705514
203,Czechia,511,Total Population [1000],2011,10569,X,h,10611,,-0.003958157
203,Czechia,511,Total Population [1000],2012,10587,X,h,10660,,-0.00684803
203,Czechia,511,Total Population [1000],2013,10594,X,h,10702,,-0.010091572
204,Benin,511,Total Population [1000],2000,6866,X,h,6949,,-0.011944165
204,Benin,511,Total Population [1000],2001,7077,X,h,7175,,-0.013658537
204,Benin,511,Total Population [1000],2002,7295,X,h,7415,,-0.016183412
204,Benin,511,Total Population [1000],2003,7521,X,h,7666,,-0.018914688
204,Benin,511,Total Population [1000],2004,7750,X,h,7923,,-0.021835163
204,Benin,511,Total Population [1000],2005,7982,X,h,8182,,-0.024443901
204,Benin,511,Total Population [1000],2006,8217,X,h,8444,,-0.026882994
204,Benin,511,Total Population [1000],2007,8455,X,h,8707,,-0.02894223
204,Benin,511,Total Population [1000],2008,8697,X,h,8973,,-0.030758943
204,Benin,511,Total Population [1000],2009,8945,X,h,9241,,-0.032031165
204,Benin,511,Total Population [1000],2010,9199,X,h,9510,,-0.032702419
204,Benin,511,Total Population [1000],2011,9461,X,h,9780,,-0.032617587
204,Benin,511,Total Population [1000],2012,9729,X,h,10051,,-0.032036613
204,Benin,511,Total Population [1000],2013,10004,X,h,10323,,-0.03090187
208,Denmark,511,Total Population [1000],2000,5341,X,h,5338,,0.000562008
208,Denmark,511,Total Population [1000],2001,5358,X,h,5355,,0.000560224
208,Denmark,511,Total Population [1000],2002,5373,X,h,5369,,0.000745018
208,Denmark,511,Total Population [1000],2003,5387,X,h,5383,,0.00074308
208,Denmark,511,Total Population [1000],2004,5403,X,h,5399,,0.000740878
208,Denmark,511,Total Population [1000],2005,5422,X,h,5418,,0.00073828
208,Denmark,511,Total Population [1000],2006,5444,X,h,5441,,0.000551369
208,Denmark,511,Total Population [1000],2007,5470,X,h,5468,,0.000365764
208,Denmark,511,Total Population [1000],2008,5498,X,h,5496,,0.000363901
208,Denmark,511,Total Population [1000],2009,5526,X,h,5524,,0.000362056
208,Denmark,511,Total Population [1000],2010,5555,X,h,5551,,0.000720591
208,Denmark,511,Total Population [1000],2011,5583,X,h,5575,,0.001434978
208,Denmark,511,Total Population [1000],2012,5611,X,h,5598,,0.002322258
208,Denmark,511,Total Population [1000],2013,5638,X,h,5619,,0.003381385
212,Dominica,511,Total Population [1000],2000,70,X,h,70,,0
212,Dominica,511,Total Population [1000],2001,70,X,h,70,,0
212,Dominica,511,Total Population [1000],2002,70,X,h,70,,0
212,Dominica,511,Total Population [1000],2003,70,X,h,70,,0
212,Dominica,511,Total Population [1000],2004,70,X,h,70,,0
212,Dominica,511,Total Population [1000],2005,71,X,h,71,,0
212,Dominica,511,Total Population [1000],2006,71,X,h,71,,0
212,Dominica,511,Total Population [1000],2007,71,X,h,71,,0
212,Dominica,511,Total Population [1000],2008,71,X,h,71,,0
212,Dominica,511,Total Population [1000],2009,71,X,h,71,,0
212,Dominica,511,Total Population [1000],2010,71,X,h,71,,0
212,Dominica,511,Total Population [1000],2011,72,X,h,71,,0.014084507
212,Dominica,511,Total Population [1000],2012,72,X,h,72,,0
212,Dominica,511,Total Population [1000],2013,72,X,h,72,,0
214,Dominican Republic,511,Total Population [1000],2000,8563,X,h,8663,,-0.011543345
214,Dominican Republic,511,Total Population [1000],2001,8697,X,h,8799,,-0.011592226
214,Dominican Republic,511,Total Population [1000],2002,8832,X,h,8935,,-0.0115277
214,Dominican Republic,511,Total Population [1000],2003,8968,X,h,9071,,-0.011354867
214,Dominican Republic,511,Total Population [1000],2004,9103,X,h,9207,,-0.011295753
214,Dominican Republic,511,Total Population [1000],2005,9238,X,h,9343,,-0.01123836
214,Dominican Republic,511,Total Population [1000],2006,9371,X,h,9479,,-0.011393607
214,Dominican Republic,511,Total Population [1000],2007,9504,X,h,9615,,-0.011544462
214,Dominican Republic,511,Total Population [1000],2008,9637,X,h,9750,,-0.011589744
214,Dominican Republic,511,Total Population [1000],2009,9768,X,h,9884,,-0.011736139
214,Dominican Republic,511,Total Population [1000],2010,9898,X,h,10017,,-0.011879804
214,Dominican Republic,511,Total Population [1000],2011,10027,X,h,10148,,-0.011923532
214,Dominican Republic,511,Total Population [1000],2012,10155,X,h,10277,,-0.011871169
214,Dominican Republic,511,Total Population [1000],2013,10281,X,h,10404,,-0.011822376
218,Ecuador,511,Total Population [1000],2000,12629,X,h,12533,,0.007659778
218,Ecuador,511,Total Population [1000],2001,12853,X,h,12781,,0.005633362
218,Ecuador,511,Total Population [1000],2002,13072,X,h,13030,,0.003223331
218,Ecuador,511,Total Population [1000],2003,13290,X,h,13280,,0.000753012
218,Ecuador,511,Total Population [1000],2004,13510,X,h,13529,,-0.001404391
218,Ecuador,511,Total Population [1000],2005,13735,X,h,13777,,-0.003048559
218,Ecuador,511,Total Population [1000],2006,13967,X,h,14024,,-0.004064461
218,Ecuador,511,Total Population [1000],2007,14205,X,h,14268,,-0.004415475
218,Ecuador,511,Total Population [1000],2008,14448,X,h,14512,,-0.004410143
218,Ecuador,511,Total Population [1000],2009,14691,X,h,14756,,-0.004404988
218,Ecuador,511,Total Population [1000],2010,14935,X,h,15001,,-0.004399707
